"","Sediment.Type","Volume.of.extraction","Sediment.contaminants","Low","Significant","Total","Expertise","Confidence"
"abbb1*1*5bbb1%1%1","Soft","Low","low",99,1,100,"Expert","Medium"
"bbbbbbbbbbbbbbb","Soft","Low","medium",64,36,100,"Expert","Medium"
"3","Soft","Low","high",29,71,100,"Expert","Medium"
"4","Soft","Moderate","low",93,7,100,"Expert","Medium"
"5","Soft","Moderate","medium",57,43,100,"Expert","Medium"
"6","Soft","Moderate","high",21,79,100,"Expert","Medium"
"7","Soft","High","low",86,14,100,"Expert","Medium"
"8","Soft","High","medium",50,50,100,"Expert","Medium"
"9","Soft","High","high",14,86,100,"Expert","Medium"
"10","Hard Clay","Low","low",93,7,100,"Expert","Medium"
"11","Hard Clay","Low","medium",57,43,100,"Expert","Medium"
"12","Hard Clay","Low","high",21,79,100,"Expert","Medium"
"13","Hard Clay","Moderate","low",86,14,100,"Expert","Medium"
"14","Hard Clay","Moderate","medium",50,50,100,"Expert","Medium"
"15","Hard Clay","Moderate","high",14,86,100,"Expert","Medium"
"16","Hard Clay","High","low",79,21,100,"Expert","Medium"
"17","Hard Clay","High","medium",43,57,100,"Expert","Medium"
"18","Hard Clay","High","high",7,93,100,"Expert","Medium"
"19","Rocks","Low","low",86,14,100,"Expert","Medium"
"20","Rocks","Low","medium",50,50,100,"Expert","Medium"
"21","Rocks","Low","high",14,86,100,"Expert","Medium"
"22","Rocks","Moderate","low",79,21,100,"Expert","Medium"
"23","Rocks","Moderate","medium",43,57,100,"Expert","Medium"
"24","Rocks","Moderate","high",7,93,100,"Expert","Medium"
"25","Rocks","High","low",71,29,100,"Expert","Medium"
"26","Rocks","High","medium",60,40,100,"Expert","Medium"
"27","Rocks","High","high",30,70,100,"Expert","Medium"
