Suspended.sediment,Sediment.deposition,Contaminant.release,X0..10.,X11..30.,X31..60.,X61..80.,X81..100.,Total,Expertise,Confidence
Low,Low (<1mm),Low,36,28,20,12,4,100,Expert,Medium
Low,Low (<1mm),Significant,19,27,20,19,15,100,Expert,Medium
Low,Moderate (1-5mm),Low,31,25,20,15,9,100,Expert,Medium
Low,Moderate (1-5mm),Significant,15,21,24,21,19,100,Expert,Medium
Low,High (5-10mm),Low,20,22,24,18,16,100,Expert,Medium
Low,High (5-10mm),Significant,10,14,22,25,29,100,Expert,Medium
Moderate,Low (<1mm),Low,31,26,20,14,9,100,Expert,Medium
Moderate,Low (<1mm),Significant,14,22,25,22,17,100,Expert,Medium
Moderate,Moderate (1-5mm),Low,24,27,20,16,13,100,Expert,Medium
Moderate,Moderate (1-5mm),Significant,14,17,20,26,23,100,Expert,Medium
Moderate,High (5-10mm),Low,17,25,23,19,16,100,Expert,Medium
Moderate,High (5-10mm),Significant,7,14,20,26,33,100,Expert,Medium
High,Low (<1mm),Low,29,25,20,15,11,100,Expert,Medium
High,Low (<1mm),Significant,16,18,20,22,24,100,Expert,Medium
High,Moderate (1-5mm),Low,17,28,21,18,16,100,Expert,Medium
High,Moderate (1-5mm),Significant,11,15,20,25,29,100,Expert,Medium
High,High (5-10mm),Low,19,19,20,21,21,100,Expert,Medium
High,High (5-10mm),Significant,5,13,20,27,35,100,Expert,Medium
