dirM,indirM,0-10%,10-30%,30-60%,60-80%,80-100%
0-10%,0-10%,0.52892562,0.47107438,0,0,0
0-10%,10-30%,0,0.786363636,0.213636364,0,0
0-10%,30-60%,0,0,0.909090909,0.090909091,0
0-10%,60-80%,0,0,0,0.918181818,0.081818182
0-10%,80-100%,0,0,0,0,1
10-30%,0-10%,0,0.698717949,0.301282051,0,0
10-30%,10-30%,0,0.147651007,0.852348993,0,0
10-30%,30-60%,0,0,0.729032258,0.270967742,0
10-30%,60-80%,0,0,0,0.71,0.29
10-30%,80-100%,0,0,0,0,1
30-60%,0-10%,0,0,0.909090909,0.090909091,0
30-60%,10-30%,0,0,0.773700306,0.226299694,0
30-60%,30-60%,0,0,0.413114754,0.555737705,0.031147541
30-60%,60-80%,0,0,0,0.186666667,0.813333333
30-60%,80-100%,0,0,0,0,1
60-80%,0-10%,0,0,0,0.918181818,0.081818182
60-80%,10-30%,0,0,0,0.71,0.29
60-80%,30-60%,0,0,0,0.170471842,0.829528158
60-80%,60-80%,0,0,0,0,1
60-80%,80-100%,0,0,0,0,1
80-100%,0-10%,0,0,0,0,1
80-100%,10-30%,0,0,0,0,1
80-100%,30-60%,0,0,0,0,1
80-100%,60-80%,0,0,0,0,1
80-100%,80-100%,0,0,0,0,1
