From,To
Concretion_removal,Volume_extraction
Depth_extraction,Volume_extraction
Sediment_Type,Suspended_sediment_bottom
Plume_release,Suspended_sediment_bottom
Volume_extraction,Suspended_sediment_bottom
Suspended_sediment_bottom,Sediment_deposition
Sediment_Type,Contaminant_release
Sediment_contaminants,Contaminant_release
Volume_extraction,Contaminant_release
Contaminant_release,Mobile_epifauna_indir
Contaminant_release,Sessile_epifauna_indir
Suspended_sediment_bottom,Mobile_epifauna_indir
Suspended_sediment_bottom,Sessile_epifauna_indir
Sediment_deposition,Mobile_epifauna_indir
Sediment_deposition,Sessile_epifauna_indir
Contaminant_release,Infauna_indir
Sediment_deposition,Infauna_indir
Suspended_sediment_bottom,Infauna_indir
Concretion_removal,Mobile_epifauna_dir
Concretion_removal,Sessile_epifauna_dir
Concretion_removal,Infauna_dir
Mobile_epifauna_dir,Mobile_epifauna_total
Sessile_epifauna_dir,Sessile_epifauna_total
Infauna_dir,Infauna_total
Mobile_epifauna_indir,Mobile_epifauna_total
Sessile_epifauna_indir,Sessile_epifauna_total
Infauna_indir,Infauna_total
